message_size,roundtrip_count,avg_latency_us
1,10000,58.955
2,10000,58.995
4,10000,56.482
8,10000,56.357
16,10000,55.541
32,10000,74.498
64,10000,53.618
128,10000,57.291
256,10000,56.025
512,10000,53.204
1024,10000,56.144
2048,10000,53.539
4096,10000,56.530
8192,10000,83.126
16384,10000,85.855
32768,10000,91.471
65536,10000,140.830
